model,epoch,train_loss,val_loss,val_acc_pct,val_auc
ResidualCNN,1,0.23004768164671874,0.07046280516496747,97.69087101703549,0.9976760638576279
ResidualCNN,2,0.04031609764324325,0.04784952532692945,98.66998698285133,0.9987608523426879
ResidualCNN,3,0.0259891116240899,0.045706004641246564,98.97560699530251,0.9992033320288477
ResidualCNN,4,0.01833928243663864,0.0279772571774478,99.17935367026996,0.9995398856339217
ResidualCNN,5,0.013913503571484576,0.031443536561499015,99.30952515705472,0.9995563402980835
ResidualCNN,6,0.00901233951214698,0.025366307635983854,99.33782330635577,0.9994980278527772
ResidualCNN,7,0.008436102662945708,0.03676481155848855,99.10577848208727,0.9993759552227549
ResidualCNN,8,0.006303064055367658,0.03685449705858761,99.07748033278624,0.9994231624086628
ResidualCNN,9,0.0072800538736427,0.0448538906529205,99.3661214556568,0.9994854279067538
ResidualCNN,10,0.004928514211603284,0.039399097392989815,99.207651819571,0.9993226906226297
