model,epoch,train_loss,val_loss,val_acc_pct,val_auc
SimpleCNN,1,0.22926934531409832,0.10420534368234402,96.16843058463976,0.9935867748808584
SimpleCNN,2,0.08755997147705648,0.06202302912919676,97.97951213990605,0.9969781874172878
SimpleCNN,3,0.054891907274292946,0.04689628444190351,98.58509253494822,0.9981045894696546
SimpleCNN,4,0.03760803578901867,0.0378101824621129,98.91335106684022,0.9986583840164577
SimpleCNN,5,0.026806307873269125,0.0338881489035829,98.98126662516272,0.9988216797088704
SimpleCNN,6,0.02005083193955914,0.04893818748254785,98.96428773558209,0.9986720380526344
SimpleCNN,7,0.014297382475693779,0.041611592788100484,99.12275737166789,0.9992244902267239
SimpleCNN,8,0.013413670907113508,0.04649129855491373,99.19067292999037,0.9989986623387519
SimpleCNN,9,0.006350719044484595,0.04795431996684839,99.25292885845266,0.9990855743916769
SimpleCNN,10,0.007318426166165306,0.04922984771465777,99.29820589733431,0.9991275366994828
